MS_system,Microservice,AVG_in_degree,AVG_out_degree,CM_in_degree,Clustering & Authority Score,Clustering & Betweenness Centrality,Clustering & Closeness Centrality,Clustering & Degree Centrality,Clustering & Eigenvector Centrality,Clustering & Hub Score,Clustering & In-degree Centrality,Clustering & Out-degree Centrality,Clustering & PageRank Centrality,ER_in_degree,ER_out_degree,LOUBAR_in_degree,LOUBAR_out_degree,CM_out_degree,Arcan_abs,Arcan_norm,ScaleFree,Int. Clustering & Degree,Int. Clustering & In-degree,Int. Clustering & Out-degree,Int. Clustering & Eigenvector Centrality,Int. Clustering & Betweenness Centrality,Int. Clustering & Closeness Centrality,Int. Clustering & PageRank Centrality,Int. Clustering & Hub Score,Int. Clustering & Authority Score
micro_webshop,security-service,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,,1.0,0.5,0.5,-0.4999947633495379,-0.5,-0.3571428571428572,-0.4250055632298284,-0.3487565987281,-0.3894480769704563
micro_webshop,product-proxy,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,1.0,-0.3333333333333333,1.0,-0.3333333248597889,-0.3333333333333333,-0.3333333333333333,-0.2807057376521942,-0.11650101844168961,-0.3333333333333333
micro_webshop,auth-server,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,1.0,0.0,1.0,8.473544436998425e-09,0.0,0.0,0.0526275956811391,0.1512434012719,-0.0
microservice,order,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,1.0,0.5833333333333333,1.0,-0.16435492883886216,-0.4000000000000001,0.0,-0.31029946500604927,-0.07062463581539158,-0.2985837703548635
microservice,eureka,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,,1.0,1.0,0.75,0.41055915235189877,0.30000000000000004,0.5833333333333334,0.05844599982033549,-0.25,0.0833333333333332
microservice,turbine,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,1.0,0.0,1.0,6.200172784063333e-10,0.0,0.0,0.025,0.1307915938297449,-0.0
microservice,catalog,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,,1.0,1.0,0.5,-0.09175133056093432,-0.4833333333333334,0.0,-0.3634952663295502,-0.3692084061702551,-0.2257081148225683
microservice,zuul,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,1.0,0.5833333333333333,1.0,-0.008418652585864272,0.08333333333333331,0.1388888888888889,-0.12948933548851937,-0.15508347900717667,-0.4166666666666667
microservice,customer,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,,1.0,1.0,0.5,-0.09175133056093432,-0.4833333333333334,0.0,-0.3634952663295502,-0.3692084061702551,-0.2257081148225683
microservice-consul,customer,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,1.0,1.0,0.5,-0.4980707467306188,-0.5,0.0,-0.3366515286311593,-0.3628743177262473,-0.24455208819153668
