Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountDeclMethodStrictPrivate,CountDeclMethodStrictPublished,CountDeclModule,CountDeclProperty,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,CountDeclFunction,CountDeclMethodDefault,CountInput,CountOutput,CountSemicolon,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
Unnamed Function,"(unnamed_function_1).(unnamed_function_5).(unnamed_function_7).t.(unnamed_function_13)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,6,1,6,2,,,1,,,,2,,,,,,,,,,,,
Function,"(unnamed_function_1).(unnamed_function_5).h",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,9,1,8,2,,,0,,,,7,,,,,,,,,,,,
Unnamed Function,"(unnamed_function_1).(unnamed_function_5).h.(unnamed_function_6)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,5,0,5,5,,,0,,,,5,,,,,,,,,,,,
Function,"(unnamed_function_1).(unnamed_function_5).r",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Unnamed Function,"(unnamed_function_1).(unnamed_function_520)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,9,3,7,1,,,0,,,,5,,,,,,,,,,,,
Function,"(unnamed_function_1).(unnamed_function_520).b",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,3,1,3,2,,,0,,,,2,,,,,,,,,,,,
Public Method,"(unnamed_function_1).(unnamed_function_520).pluralCat",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,4,1,3,2,,,0,,,,2,,,,,,,,,,,,
Unnamed Function,"(unnamed_function_1).(unnamed_function_521)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Function,"(unnamed_function_1).A",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,6,2,5,1,,,0,,,,2,,,,,,,,,,,,
Public Method,"(unnamed_function_1).A.link",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,5,2,4,1,,,0,,,,1,,,,,,,,,,,,
Function,"(unnamed_function_1).Aa",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,6,1,6,3,,,1,,,,3,,,,,,,,,,,,
Function,"(unnamed_function_1).Ab",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,2,0,2,1,,,0,,,,2,,,,,,,,,,,,
Unnamed Function,"(unnamed_function_1).Ab.(unnamed_function_29)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Function,"(unnamed_function_1).Ac",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,3,0,3,1,,,0,,,,3,,,,,,,,,,,,
Unnamed Function,"(unnamed_function_1).Ac.(unnamed_function_19)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,1,0,1,2,,,0,,,,2,,,,,,,,,,,,
Function,"(unnamed_function_1).Ad",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,5,1,4,1,,,0,,,,3,,,,,,,,,,,,
Unnamed Function,"(unnamed_function_1).Ad.(unnamed_function_220)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,3,0,3,2,,,0,,,,2,,,,,,,,,,,,
Unnamed Function,"(unnamed_function_1).Ae.(unnamed_function_491)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,3,0,3,1,,,0,,,,4,,,,,,,,,,,,
Public Method,"(unnamed_function_1).Ae.(unnamed_function_491).link",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,2,0,2,1,,,0,,,,3,,,,,,,,,,,,
Unnamed Function,"(unnamed_function_1).Ae.(unnamed_function_491).link.(unnamed_function_492)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,1,0,1,2,,,0,,,,2,,,,,,,,,,,,
Function,"(unnamed_function_1).Af",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,17,3,15,1,,,0,,,,8,,,,,,,,,,,,
Unnamed Function,"(unnamed_function_1).Af.(unnamed_function_211)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,16,3,14,1,,,0,,,,7,,,,,,,,,,,,
Function,"(unnamed_function_1).Af.(unnamed_function_211).f",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,11,1,11,2,,,0,,,,4,,,,,,,,,,,,
Unnamed Function,"(unnamed_function_1).Af.(unnamed_function_211).f.(unnamed_function_212)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,5,0,5,2,,,1,,,,2,,,,,,,,,,,,
Function,"(unnamed_function_1).B",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Function,"(unnamed_function_1).Bb",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,6,1,6,2,,,1,,,,3,,,,,,,,,,,,
Unnamed Function,"(unnamed_function_1).Bb.(unnamed_function_30)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,2,0,2,1,,,0,,,,1,,,,,,,,,,,,
Function,"(unnamed_function_1).Bd",,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,,,0,,30,6,25,1,,,0,,,,12,,,,,,,,,,,,
Unnamed Function,"(unnamed_function_1).Bd.(unnamed_function_227)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,15,2,14,5,,,1,,,,7,,,,,,,,,,,,
Unnamed Function,"(unnamed_function_1).Bd.(unnamed_function_227).(unnamed_function_228)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,2,0,2,2,,,0,,,,2,,,,,,,,,,,,
Function,"(unnamed_function_1).Bd.b",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,12,2,10,4,,,1,,,,4,,,,,,,,,,,,
Unnamed Function,"(unnamed_function_1).Be.(unnamed_function_425)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,9,1,8,1,,,0,,,,6,,,,,,,,,,,,
Public Method,"(unnamed_function_1).Be.(unnamed_function_425).link",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,8,1,7,1,,,0,,,,5,,,,,,,,,,,,
Unnamed Function,"(unnamed_function_1).Be.(unnamed_function_425).link.(unnamed_function_426)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,6,0,6,2,,,0,,,,4,,,,,,,,,,,,
Unnamed Function,"(unnamed_function_1).Be.(unnamed_function_425).link.(unnamed_function_426).(unnamed_function_427)",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,4,0,4,1,,,0,,,,1,,,,,,,,,,,,
Unnamed Function,"(unnamed_function_1).Be.(unnamed_function_425).link.(unnamed_function_426).(unnamed_function_428)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Function,"(unnamed_function_1).Bf",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,1,0,1,1,,,0,,,,1,,,,,,,,,,,,
Function,"(unnamed_function_1).Ca",,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,11,2,11,4,,,3,,,,4,,,,,,,,,,,,
Function,"(unnamed_function_1).Cb",,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,6,0,6,5,,,3,,,,5,,,,,,,,,,,,
